Bevolking," leeftijd, migratieachtergrond, geslacht en regio, 1 januari",,,,,,,
,,Onderwerpen,Totale bevolking,Totale bevolking,Totale bevolking,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond
65 tot 70 jaar,Hof van Twente,Niet-westerse migratieachtergrond,25,8,17,22,7,15
65 tot 70 jaar,Hollands Kroon,Totaal,3154,1620,1534,89,34,55
65 tot 70 jaar,Hollands Kroon,Nederlandse achtergrond,2940,1521,1419, , , 
65 tot 70 jaar,Hollands Kroon,Westerse migratieachtergrond,193,90,103,70,25,45
65 tot 70 jaar,Hollands Kroon,Niet-westerse migratieachtergrond,21,9,12,19,9,10
65 tot 70 jaar,Hoogeveen,Totaal,3422,1664,1758,174,85,89
65 tot 70 jaar,Hoogeveen,Nederlandse achtergrond,3167,1544,1623, , , 
65 tot 70 jaar,Hoogeveen,Westerse migratieachtergrond,204,93,111,125,60,65
65 tot 70 jaar,Hoogeveen,Niet-westerse migratieachtergrond,51,27,24,49,25,24
65 tot 70 jaar,Hoogezand-Sappemeer,Totaal,2238,1126,1112,237,119,118
65 tot 70 jaar,Hoogezand-Sappemeer,Nederlandse achtergrond,1931,977,954, , , 
65 tot 70 jaar,Hoogezand-Sappemeer,Westerse migratieachtergrond,161,78,83,94,50,44
65 tot 70 jaar,Hoogezand-Sappemeer,Niet-westerse migratieachtergrond,146,71,75,143,69,74
65 tot 70 jaar,Hoorn,Totaal,4728,2327,2401,458,221,237
65 tot 70 jaar,Hoorn,Nederlandse achtergrond,4072,2011,2061, , , 
65 tot 70 jaar,Hoorn,Westerse migratieachtergrond,399,185,214,212,97,115
65 tot 70 jaar,Hoorn,Niet-westerse migratieachtergrond,257,131,126,246,124,122
65 tot 70 jaar,Horst aan de Maas,Totaal,2669,1380,1289,79,35,44
65 tot 70 jaar,Horst aan de Maas,Nederlandse achtergrond,2460,1290,1170, , , 
65 tot 70 jaar,Horst aan de Maas,Westerse migratieachtergrond,193,80,113,65,27,38
65 tot 70 jaar,Horst aan de Maas,Niet-westerse migratieachtergrond,16,10,6,14,8,6
65 tot 70 jaar,Houten,Totaal,2407,1238,1169,160,74,86
65 tot 70 jaar,Houten,Nederlandse achtergrond,2143,1102,1041, , , 
65 tot 70 jaar,Houten,Westerse migratieachtergrond,191,105,86,90,45,45
65 tot 70 jaar,Houten,Niet-westerse migratieachtergrond,73,31,42,70,29,41
65 tot 70 jaar,Huizen,Totaal,2992,1465,1527,243,112,131
65 tot 70 jaar,Huizen,Nederlandse achtergrond,2556,1249,1307, , , 
65 tot 70 jaar,Huizen,Westerse migratieachtergrond,354,176,178,168,76,92
65 tot 70 jaar,Huizen,Niet-westerse migratieachtergrond,82,40,42,75,36,39
65 tot 70 jaar,Hulst,Totaal,1959,980,979,205,79,126
65 tot 70 jaar,Hulst,Nederlandse achtergrond,1538,785,753, , , 
65 tot 70 jaar,Hulst,Westerse migratieachtergrond,407,189,218,193,74,119
65 tot 70 jaar,Hulst,Niet-westerse migratieachtergrond,14,6,8,12,5,7
65 tot 70 jaar,IJsselstein,Totaal,1808,850,958,150,66,84
65 tot 70 jaar,IJsselstein,Nederlandse achtergrond,1609,760,849, , , 
65 tot 70 jaar,IJsselstein,Westerse migratieachtergrond,107,46,61,58,22,36
65 tot 70 jaar,IJsselstein,Niet-westerse migratieachtergrond,92,44,48,92,44,48
65 tot 70 jaar,Kaag en Braassem,Totaal,1779,924,855,50,22,28
65 tot 70 jaar,Kaag en Braassem,Nederlandse achtergrond,1672,874,798, , , 
65 tot 70 jaar,Kaag en Braassem,Westerse migratieachtergrond,91,43,48,34,15,19
65 tot 70 jaar,Kaag en Braassem,Niet-westerse migratieachtergrond,16,7,9,16,7,9
65 tot 70 jaar,Kampen,Totaal,2707,1342,1365,91,37,54
65 tot 70 jaar,Kampen,Nederlandse achtergrond,2565,1281,1284, , , 
65 tot 70 jaar,Kampen,Westerse migratieachtergrond,95,42,53,46,20,26
65 tot 70 jaar,Kampen,Niet-westerse migratieachtergrond,47,19,28,45,17,28
65 tot 70 jaar,Kapelle,Totaal,733,379,354,31,13,18
65 tot 70 jaar,Kapelle,Nederlandse achtergrond,688,357,331, , , 
65 tot 70 jaar,Kapelle,Westerse migratieachtergrond,39,18,21,26,10,16
65 tot 70 jaar,Kapelle,Niet-westerse migratieachtergrond,6,4,2,5,3,2
65 tot 70 jaar,Katwijk,Totaal,3593,1803,1790,145,56,89
65 tot 70 jaar,Katwijk,Nederlandse achtergrond,3351,1694,1657, , , 
65 tot 70 jaar,Katwijk,Westerse migratieachtergrond,196,87,109,102,35,67
65 tot 70 jaar,Katwijk,Niet-westerse migratieachtergrond,46,22,24,43,21,22
65 tot 70 jaar,Kerkrade,Totaal,3471,1801,1670,523,297,226
65 tot 70 jaar,Kerkrade,Nederlandse achtergrond,2380,1207,1173, , , 
65 tot 70 jaar,Kerkrade,Westerse migratieachtergrond,1036,554,482,470,258,212
65 tot 70 jaar,Kerkrade,Niet-westerse migratieachtergrond,55,40,15,53,39,14
65 tot 70 jaar,Koggenland,Totaal,1520,771,749,40,23,17
65 tot 70 jaar,Koggenland,Nederlandse achtergrond,1423,720,703, , , 
65 tot 70 jaar,Koggenland,Westerse migratieachtergrond,85,45,40,31,18,13
65 tot 70 jaar,Koggenland,Niet-westerse migratieachtergrond,12,6,6,9,5,4
65 tot 70 jaar,Kollumerland en Nieuwkruisland,Totaal,765,400,365,14,8,6
65 tot 70 jaar,Kollumerland en Nieuwkruisland,Nederlandse achtergrond,739,387,352, , , 
65 tot 70 jaar,Kollumerland en Nieuwkruisland,Westerse migratieachtergrond,23,10,13,12,6,6
65 tot 70 jaar,Kollumerland en Nieuwkruisland,Niet-westerse migratieachtergrond,3,3,0,2,2,0
65 tot 70 jaar,Korendijk,Totaal,733,372,361,23,10,13
65 tot 70 jaar,Korendijk,Nederlandse achtergrond,696,353,343, , , 
65 tot 70 jaar,Korendijk,Westerse migratieachtergrond,37,19,18,23,10,13
65 tot 70 jaar,Korendijk,Niet-westerse migratieachtergrond,0,0,0,0,0,0
65 tot 70 jaar,Krimpen aan den IJssel,Totaal,1918,902,1016,148,71,77
65 tot 70 jaar,Krimpen aan den IJssel,Nederlandse achtergrond,1719,806,913, , , 
65 tot 70 jaar,Krimpen aan den IJssel,Westerse migratieachtergrond,155,75,80,105,50,55
65 tot 70 jaar,Krimpen aan den IJssel,Niet-westerse migratieachtergrond,44,21,23,43,21,22
65 tot 70 jaar,Krimpenerwaard,Totaal,3484,1707,1777,134,50,84
65 tot 70 jaar,Krimpenerwaard,Nederlandse achtergrond,3251,1606,1645, , , 
65 tot 70 jaar,Krimpenerwaard,Westerse migratieachtergrond,185,84,101,88,33,55
65 tot 70 jaar,Krimpenerwaard,Niet-westerse migratieachtergrond,48,17,31,46,17,29
65 tot 70 jaar,Laarbeek,Totaal,1550,813,737,42,15,27
65 tot 70 jaar,Laarbeek,Nederlandse achtergrond,1452,765,687, , , 
65 tot 70 jaar,Laarbeek,Westerse migratieachtergrond,91,44,47,36,12,24
65 tot 70 jaar,Laarbeek,Niet-westerse migratieachtergrond,7,4,3,6,3,3
65 tot 70 jaar,Landerd,Totaal,1069,586,483,29,14,15
65 tot 70 jaar,Landerd,Nederlandse achtergrond,1000,546,454, , , 
65 tot 70 jaar,Landerd,Westerse migratieachtergrond,56,35,21,16,9,7
65 tot 70 jaar,Landerd,Niet-westerse migratieachtergrond,13,5,8,13,5,8
65 tot 70 jaar,Landgraaf,Totaal,2885,1446,1439,244,128,116
65 tot 70 jaar,Landgraaf,Nederlandse achtergrond,2137,1074,1063, , , 
65 tot 70 jaar,Landgraaf,Westerse migratieachtergrond,717,360,357,215,117,98
65 tot 70 jaar,Landgraaf,Niet-westerse migratieachtergrond,31,12,19,29,11,18
65 tot 70 jaar,Landsmeer,Totaal,731,357,374,40,16,24
65 tot 70 jaar,Landsmeer,Nederlandse achtergrond,657,324,333, , , 
65 tot 70 jaar,Landsmeer,Westerse migratieachtergrond,55,24,31,22,7,15
65 tot 70 jaar,Landsmeer,Niet-westerse migratieachtergrond,19,9,10,18,9,9
65 tot 70 jaar,Langedijk,Totaal,1884,960,924,68,30,38
65 tot 70 jaar,Langedijk,Nederlandse achtergrond,1760,914,846, , , 
65 tot 70 jaar,Langedijk,Westerse migratieachtergrond,106,39,67,51,23,28
65 tot 70 jaar,Langedijk,Niet-westerse migratieachtergrond,18,7,11,17,7,10
65 tot 70 jaar,Lansingerland,Totaal,2809,1383,1426,178,83,95
65 tot 70 jaar,Lansingerland,Nederlandse achtergrond,2518,1242,1276, , , 
65 tot 70 jaar,Lansingerland,Westerse migratieachtergrond,197,93,104,88,37,51
65 tot 70 jaar,Lansingerland,Niet-westerse migratieachtergrond,94,48,46,90,46,44
65 tot 70 jaar,Laren (NH.),Totaal,886,394,492,44,13,31
65 tot 70 jaar,Laren (NH.),Nederlandse achtergrond,756,331,425, , , 
65 tot 70 jaar,Laren (NH.),Westerse migratieachtergrond,119,61,58,35,11,24
65 tot 70 jaar,Laren (NH.),Niet-westerse migratieachtergrond,11,2,9,9,2,7
65 tot 70 jaar,Leek,Totaal,1278,626,652,44,21,23
65 tot 70 jaar,Leek,Nederlandse achtergrond,1196,588,608, , , 
65 tot 70 jaar,Leek,Westerse migratieachtergrond,70,33,37,32,16,16
65 tot 70 jaar,Leek,Niet-westerse migratieachtergrond,12,5,7,12,5,7
65 tot 70 jaar,Leerdam,Totaal,1272,607,665,149,58,91
65 tot 70 jaar,Leerdam,Nederlandse achtergrond,1052,517,535, , , 
65 tot 70 jaar,Leerdam,Westerse migratieachtergrond,159,71,88,89,39,50
65 tot 70 jaar,Leerdam,Niet-westerse migratieachtergrond,61,19,42,60,19,41
65 tot 70 jaar,Leeuwarden,Totaal,5855,2875,2980,422,216,206
65 tot 70 jaar,Leeuwarden,Nederlandse achtergrond,5198,2539,2659, , , 
65 tot 70 jaar,Leeuwarden,Westerse migratieachtergrond,468,244,224,234,124,110
65 tot 70 jaar,Leeuwarden,Niet-westerse migratieachtergrond,189,92,97,188,92,96
65 tot 70 jaar,Leeuwarderadeel,Totaal,756,375,381,23,10,13
65 tot 70 jaar,Leeuwarderadeel,Nederlandse achtergrond,712,351,361, , , 
65 tot 70 jaar,Leeuwarderadeel,Westerse migratieachtergrond,35,22,13,14,8,6
65 tot 70 jaar,Leeuwarderadeel,Niet-westerse migratieachtergrond,9,2,7,9,2,7
65 tot 70 jaar,Leiden,Totaal,6094,3061,3033,770,360,410
65 tot 70 jaar,Leiden,Nederlandse achtergrond,4975,2519,2456, , , 
65 tot 70 jaar,Leiden,Westerse migratieachtergrond,734,360,374,391,181,210
65 tot 70 jaar,Leiden,Niet-westerse migratieachtergrond,385,182,203,379,179,200
65 tot 70 jaar,Leiderdorp,Totaal,1774,799,975,166,76,90
65 tot 70 jaar,Leiderdorp,Nederlandse achtergrond,1509,680,829, , , 
65 tot 70 jaar,Leiderdorp,Westerse migratieachtergrond,191,79,112,94,36,58
65 tot 70 jaar,Leiderdorp,Niet-westerse migratieachtergrond,74,40,34,72,40,32
65 tot 70 jaar,Leidschendam-Voorburg,Totaal,4932,2351,2581,698,296,402
65 tot 70 jaar,Leidschendam-Voorburg,Nederlandse achtergrond,3866,1865,2001, , , 
65 tot 70 jaar,Leidschendam-Voorburg,Westerse migratieachtergrond,735,342,393,384,161,223
65 tot 70 jaar,Leidschendam-Voorburg,Niet-westerse migratieachtergrond,331,144,187,314,135,179
65 tot 70 jaar,Lelystad,Totaal,5060,2493,2567,587,283,304
65 tot 70 jaar,Lelystad,Nederlandse achtergrond,4196,2063,2133, , , 
65 tot 70 jaar,Lelystad,Westerse migratieachtergrond,545,285,260,279,144,135
65 tot 70 jaar,Lelystad,Niet-westerse migratieachtergrond,319,145,174,308,139,169
65 tot 70 jaar,Leudal,Totaal,2626,1356,1270,105,44,61
65 tot 70 jaar,Leudal,Nederlandse achtergrond,2334,1218,1116, , , 
65 tot 70 jaar,Leudal,Westerse migratieachtergrond,279,136,143,93,42,51
65 tot 70 jaar,Leudal,Niet-westerse migratieachtergrond,13,2,11,12,2,10
65 tot 70 jaar,Leusden,Totaal,1920,941,979,105,52,53
65 tot 70 jaar,Leusden,Nederlandse achtergrond,1711,831,880, , , 
65 tot 70 jaar,Leusden,Westerse migratieachtergrond,178,92,86,76,35,41
65 tot 70 jaar,Leusden,Niet-westerse migratieachtergrond,31,18,13,29,17,12
65 tot 70 jaar,Lingewaal,Totaal,723,370,353,21,12,9
65 tot 70 jaar,Lingewaal,Nederlandse achtergrond,683,348,335, , , 
65 tot 70 jaar,Lingewaal,Westerse migratieachtergrond,30,18,12,12,8,4
65 tot 70 jaar,Lingewaal,Niet-westerse migratieachtergrond,10,4,6,9,4,5
65 tot 70 jaar,Lingewaard,Totaal,3239,1675,1564,102,45,57
65 tot 70 jaar,Lingewaard,Nederlandse achtergrond,2906,1503,1403, , , 
65 tot 70 jaar,Lingewaard,Westerse migratieachtergrond,309,161,148,78,34,44
65 tot 70 jaar,Lingewaard,Niet-westerse migratieachtergrond,24,11,13,24,11,13
65 tot 70 jaar,Lisse,Totaal,1518,735,783,77,28,49
65 tot 70 jaar,Lisse,Nederlandse achtergrond,1379,682,697, , , 
65 tot 70 jaar,Lisse,Westerse migratieachtergrond,116,46,70,56,21,35
65 tot 70 jaar,Lisse,Niet-westerse migratieachtergrond,23,7,16,21,7,14
65 tot 70 jaar,Littenseradiel,Totaal,706,374,332,14,10,4
65 tot 70 jaar,Littenseradiel,Nederlandse achtergrond,673,354,319, , , 
65 tot 70 jaar,Littenseradiel,Westerse migratieachtergrond,33,20,13,14,10,4
65 tot 70 jaar,Littenseradiel,Niet-westerse migratieachtergrond,0,0,0,0,0,0
65 tot 70 jaar,Lochem,Totaal,2618,1275,1343,81,37,44
65 tot 70 jaar,Lochem,Nederlandse achtergrond,2424,1185,1239, , , 
65 tot 70 jaar,Lochem,Westerse migratieachtergrond,164,79,85,55,27,28
65 tot 70 jaar,Lochem,Niet-westerse migratieachtergrond,30,11,19,26,10,16
65 tot 70 jaar,Loon op Zand,Totaal,1587,813,774,52,26,26
65 tot 70 jaar,Loon op Zand,Nederlandse achtergrond,1480,754,726, , , 
65 tot 70 jaar,Loon op Zand,Westerse migratieachtergrond,100,55,45,45,22,23
65 tot 70 jaar,Loon op Zand,Niet-westerse migratieachtergrond,7,4,3,7,4,3
65 tot 70 jaar,Lopik,Totaal,801,428,373,17,8,9
65 tot 70 jaar,Lopik,Nederlandse achtergrond,772,411,361, , , 
65 tot 70 jaar,Lopik,Westerse migratieachtergrond,20,14,6,8,5,3
65 tot 70 jaar,Lopik,Niet-westerse migratieachtergrond,9,3,6,9,3,6
65 tot 70 jaar,Loppersum,Totaal,734,392,342,11,8,3
65 tot 70 jaar,Loppersum,Nederlandse achtergrond,704,370,334, , , 
65 tot 70 jaar,Loppersum,Westerse migratieachtergrond,26,20,6,9,7,2
65 tot 70 jaar,Loppersum,Niet-westerse migratieachtergrond,4,2,2,2,1,1
65 tot 70 jaar,Losser,Totaal,1662,872,790,78,32,46
65 tot 70 jaar,Losser,Nederlandse achtergrond,1390,740,650, , , 
65 tot 70 jaar,Losser,Westerse migratieachtergrond,262,129,133,68,29,39
65 tot 70 jaar,Losser,Niet-westerse migratieachtergrond,10,3,7,10,3,7
65 tot 70 jaar,Maasdriel,Totaal,1554,778,776,58,27,31
65 tot 70 jaar,Maasdriel,Nederlandse achtergrond,1440,718,722, , , 
65 tot 70 jaar,Maasdriel,Westerse migratieachtergrond,101,54,47,46,22,24
65 tot 70 jaar,Maasdriel,Niet-westerse migratieachtergrond,13,6,7,12,5,7
65 tot 70 jaar,Maasgouw,Totaal,1956,981,975,89,41,48
65 tot 70 jaar,Maasgouw,Nederlandse achtergrond,1686,847,839, , , 
65 tot 70 jaar,Maasgouw,Westerse migratieachtergrond,259,127,132,78,34,44
65 tot 70 jaar,Maasgouw,Niet-westerse migratieachtergrond,11,7,4,11,7,4
65 tot 70 jaar,Maassluis,Totaal,2411,1224,1187,225,105,120
65 tot 70 jaar,Maassluis,Nederlandse achtergrond,2089,1068,1021, , , 
65 tot 70 jaar,Maassluis,Westerse migratieachtergrond,180,84,96,84,33,51
65 tot 70 jaar,Maassluis,Niet-westerse migratieachtergrond,142,72,70,141,72,69
65 tot 70 jaar,Maastricht,Totaal,7581,3804,3777,733,394,339
65 tot 70 jaar,Maastricht,Nederlandse achtergrond,6207,3083,3124, , , 
65 tot 70 jaar,Maastricht,Westerse migratieachtergrond,1168,611,557,535,290,245
65 tot 70 jaar,Maastricht,Niet-westerse migratieachtergrond,206,110,96,198,104,94
65 tot 70 jaar,De Marne,Totaal,792,389,403,23,7,16
65 tot 70 jaar,De Marne,Nederlandse achtergrond,730,364,366, , , 
65 tot 70 jaar,De Marne,Westerse migratieachtergrond,60,24,36,21,6,15
65 tot 70 jaar,De Marne,Niet-westerse migratieachtergrond,2,1,1,2,1,1
65 tot 70 jaar,Marum,Totaal,607,311,296,22,12,10
65 tot 70 jaar,Marum,Nederlandse achtergrond,570,296,274, , , 
65 tot 70 jaar,Marum,Westerse migratieachtergrond,35,14,21,20,11,9
65 tot 70 jaar,Marum,Niet-westerse migratieachtergrond,2,1,1,2,1,1
65 tot 70 jaar,Medemblik,Totaal,3083,1634,1449,97,52,45
65 tot 70 jaar,Medemblik,Nederlandse achtergrond,2872,1520,1352, , , 
65 tot 70 jaar,Medemblik,Westerse migratieachtergrond,184,97,87,72,36,36
65 tot 70 jaar,Medemblik,Niet-westerse migratieachtergrond,27,17,10,25,16,9
65 tot 70 jaar,Meerssen,Totaal,1428,707,721,54,25,29
65 tot 70 jaar,Meerssen,Nederlandse achtergrond,1278,635,643, , , 
65 tot 70 jaar,Meerssen,Westerse migratieachtergrond,144,69,75,48,22,26
65 tot 70 jaar,Meerssen,Niet-westerse migratieachtergrond,6,3,3,6,3,3
65 tot 70 jaar,Meierijstad,Totaal,5082,2655,2427,260,132,128
65 tot 70 jaar,Meierijstad,Nederlandse achtergrond,4671,2447,2224, , , 
65 tot 70 jaar,Meierijstad,Westerse migratieachtergrond,298,147,151,148,71,77
65 tot 70 jaar,Meierijstad,Niet-westerse migratieachtergrond,113,61,52,112,61,51
65 tot 70 jaar,Menameradiel,Totaal,927,477,450,20,7,13
65 tot 70 jaar,Menameradiel,Nederlandse achtergrond,886,461,425, , , 
65 tot 70 jaar,Menameradiel,Westerse migratieachtergrond,35,16,19,14,7,7
65 tot 70 jaar,Menameradiel,Niet-westerse migratieachtergrond,6,0,6,6,0,6
65 tot 70 jaar,Menterwolde,Totaal,887,465,422,29,11,18
65 tot 70 jaar,Menterwolde,Nederlandse achtergrond,840,447,393, , , 
65 tot 70 jaar,Menterwolde,Westerse migratieachtergrond,45,17,28,27,10,17
65 tot 70 jaar,Menterwolde,Niet-westerse migratieachtergrond,2,1,1,2,1,1
65 tot 70 jaar,Meppel,Totaal,2025,1001,1024,97,43,54
65 tot 70 jaar,Meppel,Nederlandse achtergrond,1854,919,935, , , 
65 tot 70 jaar,Meppel,Westerse migratieachtergrond,139,67,72,68,30,38
65 tot 70 jaar,Meppel,Niet-westerse migratieachtergrond,32,15,17,29,13,16
65 tot 70 jaar,Middelburg (Z.),Totaal,3045,1429,1616,262,121,141
65 tot 70 jaar,Middelburg (Z.),Nederlandse achtergrond,2661,1244,1417, , , 
65 tot 70 jaar,Middelburg (Z.),Westerse migratieachtergrond,304,152,152,183,88,95
65 tot 70 jaar,Middelburg (Z.),Niet-westerse migratieachtergrond,80,33,47,79,33,46
65 tot 70 jaar,Midden-Delfland,Totaal,1062,561,501,47,21,26
65 tot 70 jaar,Midden-Delfland,Nederlandse achtergrond,978,519,459, , , 
65 tot 70 jaar,Midden-Delfland,Westerse migratieachtergrond,62,27,35,28,9,19
65 tot 70 jaar,Midden-Delfland,Niet-westerse migratieachtergrond,22,15,7,19,12,7
65 tot 70 jaar,Midden-Drenthe,Totaal,2442,1231,1211,111,57,54
65 tot 70 jaar,Midden-Drenthe,Nederlandse achtergrond,2234,1126,1108, , , 
65 tot 70 jaar,Midden-Drenthe,Westerse migratieachtergrond,191,99,92,97,52,45
65 tot 70 jaar,Midden-Drenthe,Niet-westerse migratieachtergrond,17,6,11,14,5,9
65 tot 70 jaar,Mill en Sint Hubert,Totaal,738,389,349,9,3,6
65 tot 70 jaar,Mill en Sint Hubert,Nederlandse achtergrond,700,371,329, , , 
65 tot 70 jaar,Mill en Sint Hubert,Westerse migratieachtergrond,38,18,20,9,3,6
65 tot 70 jaar,Mill en Sint Hubert,Niet-westerse migratieachtergrond,0,0,0,0,0,0
65 tot 70 jaar,Moerdijk,Totaal,2573,1313,1260,102,48,54
65 tot 70 jaar,Moerdijk,Nederlandse achtergrond,2378,1217,1161, , , 
65 tot 70 jaar,Moerdijk,Westerse migratieachtergrond,161,79,82,71,33,38
65 tot 70 jaar,Moerdijk,Niet-westerse migratieachtergrond,34,17,17,31,15,16
65 tot 70 jaar,Molenwaard,Totaal,1696,824,872,43,17,26
65 tot 70 jaar,Molenwaard,Nederlandse achtergrond,1621,787,834, , , 
65 tot 70 jaar,Molenwaard,Westerse migratieachtergrond,66,34,32,35,14,21
65 tot 70 jaar,Molenwaard,Niet-westerse migratieachtergrond,9,3,6,8,3,5
65 tot 70 jaar,Montferland,Totaal,2445,1203,1242,69,33,36
65 tot 70 jaar,Montferland,Nederlandse achtergrond,2169,1071,1098, , , 
65 tot 70 jaar,Montferland,Westerse migratieachtergrond,262,126,136,55,27,28
65 tot 70 jaar,Montferland,Niet-westerse migratieachtergrond,14,6,8,14,6,8
65 tot 70 jaar,Montfoort,Totaal,849,406,443,37,16,21
65 tot 70 jaar,Montfoort,Nederlandse achtergrond,785,374,411, , , 
65 tot 70 jaar,Montfoort,Westerse migratieachtergrond,49,28,21,23,12,11
65 tot 70 jaar,Montfoort,Niet-westerse migratieachtergrond,15,4,11,14,4,10
65 tot 70 jaar,Mook en Middelaar,Totaal,643,318,325,35,16,19
65 tot 70 jaar,Mook en Middelaar,Nederlandse achtergrond,558,271,287, , , 
65 tot 70 jaar,Mook en Middelaar,Westerse migratieachtergrond,77,43,34,28,12,16
65 tot 70 jaar,Mook en Middelaar,Niet-westerse migratieachtergrond,8,4,4,7,4,3
65 tot 70 jaar,Neder-Betuwe,Totaal,1315,644,671,64,29,35
65 tot 70 jaar,Neder-Betuwe,Nederlandse achtergrond,1217,598,619, , , 
65 tot 70 jaar,Neder-Betuwe,Westerse migratieachtergrond,85,36,49,51,19,32
65 tot 70 jaar,Neder-Betuwe,Niet-westerse migratieachtergrond,13,10,3,13,10,3
65 tot 70 jaar,Nederweert,Totaal,1198,615,583,30,14,16
65 tot 70 jaar,Nederweert,Nederlandse achtergrond,1118,575,543, , , 
65 tot 70 jaar,Nederweert,Westerse migratieachtergrond,78,39,39,28,13,15
65 tot 70 jaar,Nederweert,Niet-westerse migratieachtergrond,2,1,1,2,1,1
65 tot 70 jaar,Neerijnen,Totaal,690,353,337,13,6,7
65 tot 70 jaar,Neerijnen,Nederlandse achtergrond,660,341,319, , , 
65 tot 70 jaar,Neerijnen,Westerse migratieachtergrond,28,11,17,11,5,6
65 tot 70 jaar,Neerijnen,Niet-westerse migratieachtergrond,2,1,1,2,1,1
65 tot 70 jaar,Nieuwegein,Totaal,4568,2259,2309,540,266,274
65 tot 70 jaar,Nieuwegein,Nederlandse achtergrond,3827,1871,1956, , , 
65 tot 70 jaar,Nieuwegein,Westerse migratieachtergrond,467,249,218,274,131,143
65 tot 70 jaar,Nieuwegein,Niet-westerse migratieachtergrond,274,139,135,266,135,131
65 tot 70 jaar,Nieuwkoop,Totaal,1854,949,905,75,39,36
65 tot 70 jaar,Nieuwkoop,Nederlandse achtergrond,1724,879,845, , , 
65 tot 70 jaar,Nieuwkoop,Westerse migratieachtergrond,103,53,50,48,22,26
65 tot 70 jaar,Nieuwkoop,Niet-westerse migratieachtergrond,27,17,10,27,17,10
65 tot 70 jaar,Nijkerk,Totaal,2462,1212,1250,107,38,69
65 tot 70 jaar,Nijkerk,Nederlandse achtergrond,2277,1134,1143, , , 
65 tot 70 jaar,Nijkerk,Westerse migratieachtergrond,147,60,87,71,22,49
65 tot 70 jaar,Nijkerk,Niet-westerse migratieachtergrond,38,18,20,36,16,20
65 tot 70 jaar,Nijmegen,Totaal,8732,4236,4496,999,467,532
65 tot 70 jaar,Nijmegen,Nederlandse achtergrond,6953,3399,3554, , , 
65 tot 70 jaar,Nijmegen,Westerse migratieachtergrond,1253,593,660,492,231,261
65 tot 70 jaar,Nijmegen,Niet-westerse migratieachtergrond,526,244,282,507,236,271
65 tot 70 jaar,Nissewaard,Totaal,5492,2713,2779,628,274,354
65 tot 70 jaar,Nissewaard,Nederlandse achtergrond,4615,2310,2305, , , 
65 tot 70 jaar,Nissewaard,Westerse migratieachtergrond,573,266,307,328,140,188
65 tot 70 jaar,Nissewaard,Niet-westerse migratieachtergrond,304,137,167,300,134,166
65 tot 70 jaar,Noord-Beveland,Totaal,622,319,303,43,18,25
65 tot 70 jaar,Noord-Beveland,Nederlandse achtergrond,557,291,266, , , 
65 tot 70 jaar,Noord-Beveland,Westerse migratieachtergrond,56,23,33,36,14,22
65 tot 70 jaar,Noord-Beveland,Niet-westerse migratieachtergrond,9,5,4,7,4,3
65 tot 70 jaar,Noordenveld,Totaal,2332,1192,1140,93,42,51
65 tot 70 jaar,Noordenveld,Nederlandse achtergrond,2176,1116,1060, , , 
65 tot 70 jaar,Noordenveld,Westerse migratieachtergrond,129,62,67,67,29,38
65 tot 70 jaar,Noordenveld,Niet-westerse migratieachtergrond,27,14,13,26,13,13
65 tot 70 jaar,Noordoostpolder,Totaal,2565,1296,1269,105,48,57
65 tot 70 jaar,Noordoostpolder,Nederlandse achtergrond,2377,1204,1173, , , 
65 tot 70 jaar,Noordoostpolder,Westerse migratieachtergrond,150,72,78,67,28,39
65 tot 70 jaar,Noordoostpolder,Niet-westerse migratieachtergrond,38,20,18,38,20,18
65 tot 70 jaar,Noordwijk,Totaal,1765,875,890,102,48,54
65 tot 70 jaar,Noordwijk,Nederlandse achtergrond,1577,779,798, , , 
65 tot 70 jaar,Noordwijk,Westerse migratieachtergrond,166,84,82,83,38,45
65 tot 70 jaar,Noordwijk,Niet-westerse migratieachtergrond,22,12,10,19,10,9
65 tot 70 jaar,Noordwijkerhout,Totaal,1101,545,556,51,25,26
65 tot 70 jaar,Noordwijkerhout,Nederlandse achtergrond,1020,498,522, , , 
65 tot 70 jaar,Noordwijkerhout,Westerse migratieachtergrond,68,40,28,38,18,20
65 tot 70 jaar,Noordwijkerhout,Niet-westerse migratieachtergrond,13,7,6,13,7,6
65 tot 70 jaar,Nuenen,,,,,,,
65 tot 70 jaar,Nuenen,,,,,,,
65 tot 70 jaar,Nuenen,,,,,,,
65 tot 70 jaar,Nuenen,,,,,,,
65 tot 70 jaar,Nunspeet,Totaal,1526,772,754,45,25,20
65 tot 70 jaar,Nunspeet,Nederlandse achtergrond,1439,732,707, , , 
65 tot 70 jaar,Nunspeet,Westerse migratieachtergrond,72,33,39,31,18,13
65 tot 70 jaar,Nunspeet,Niet-westerse migratieachtergrond,15,7,8,14,7,7
65 tot 70 jaar,Nuth,Totaal,1171,572,599,51,28,23
65 tot 70 jaar,Nuth,Nederlandse achtergrond,991,479,512, , , 
65 tot 70 jaar,Nuth,Westerse migratieachtergrond,170,88,82,42,24,18
65 tot 70 jaar,Nuth,Niet-westerse migratieachtergrond,10,5,5,9,4,5
65 tot 70 jaar,Oegstgeest,Totaal,1350,649,701,139,63,76
65 tot 70 jaar,Oegstgeest,Nederlandse achtergrond,1116,521,595, , , 
